sample id,average perf,perf variance,n average
HumanEval/0,1,0,34
HumanEval/1,0.680189317106,0.21385582514,34
HumanEval/2,0.995291368689,6.96809420039e-05,29
HumanEval/3,1,0,29
HumanEval/4,1,0,29
HumanEval/5,0.965517241379,0.0332936979786,29
HumanEval/6,1,0,14
HumanEval/7,1,0,14
HumanEval/8,1,0,36
HumanEval/9,1,0,12
HumanEval/10,0.895891977481,0.0739785162469,29
HumanEval/11,1,0,12
HumanEval/12,1,0,12
HumanEval/13,1,0,12
HumanEval/16,0.916666666667,0.0763888888889,12
HumanEval/17,1,0,12
HumanEval/18,1,0,12
HumanEval/19,1,0,29
HumanEval/20,1,0,12
HumanEval/21,0.60846270092,0.0689856554567,29
HumanEval/22,0.916173712307,0.00752876411613,29
HumanEval/23,1,0,12
HumanEval/24,1,0,14
HumanEval/25,1,0,31
HumanEval/26,1,0,12
HumanEval/27,0.916666666667,0.0763888888889,12
HumanEval/28,1,0,14
HumanEval/29,1,0,29
HumanEval/30,1,0,31
HumanEval/31,0.997903563941,1.53826545188e-05,12
HumanEval/33,1,0,12
HumanEval/34,1,0,12
HumanEval/35,1,0,12
HumanEval/36,1,0,12
HumanEval/37,1,0,12
HumanEval/38,0.935894801726,0.0595900258569,31
HumanEval/39,0.75,0.1875,12
HumanEval/40,0.998464330588,6.60318552248e-05,29
HumanEval/41,1,0,12
HumanEval/42,1,0,12
HumanEval/43,1,0,12
HumanEval/44,1,0,12
HumanEval/45,1,0,12
HumanEval/46,0.864942528736,0.114032444213,29
HumanEval/47,0.958379310345,0.0342280285375,29
HumanEval/48,0.412129613585,0.240655429707,29
HumanEval/49,0.916582406471,0.0763749236206,12
HumanEval/50,0.916666666667,0.0763888888889,12
HumanEval/51,1,0,29
HumanEval/52,1,0,12
HumanEval/53,0.928571428571,0.0663265306122,14
HumanEval/54,0.949818331391,0.00356744980788,29
HumanEval/55,0.888122605364,0.0701058410769,29
HumanEval/56,1,0,12
HumanEval/57,1,0,12
HumanEval/58,1,0,14
HumanEval/59,1,0,12
HumanEval/60,0.967741935484,0.0312174817898,31
HumanEval/61,1,0,29
HumanEval/62,0.935483870968,0.060353798127,31
HumanEval/63,0.925641025641,0.0608218277449,12
HumanEval/64,0.965517241379,0.0332936979786,29
HumanEval/65,0.928881916528,0.0256553762401,31
HumanEval/66,1,0,29
HumanEval/67,0.931034482759,0.064209274673,29
HumanEval/68,1,0,12
HumanEval/69,1,0,29
HumanEval/70,1,0,12
HumanEval/71,1,0,12
HumanEval/72,1,0,29
HumanEval/73,1,0,31
HumanEval/74,1,0,12
HumanEval/75,1,0,12
HumanEval/76,0.826441867562,0.142295418527,29
HumanEval/77,0.880589430894,0.0846932526109,12
HumanEval/78,1,0,12
HumanEval/79,1,0,29
HumanEval/80,1,0,12
HumanEval/81,0.46932199904,0.192202084956,29
HumanEval/82,1,0,12
HumanEval/84,1,0,12
HumanEval/85,1,0,12
HumanEval/86,0.984592445328,0.00122401772269,12
HumanEval/87,1,0,12
HumanEval/88,1,0,12
HumanEval/89,1,0,29
HumanEval/90,0.999916607597,1.94720200363e-07,29
HumanEval/91,0.999554397751,2.44383217154e-07,29
HumanEval/92,1,0,12
HumanEval/93,0.917993366501,0.0739759673165,12
HumanEval/94,1,0,29
HumanEval/95,0.953087409783,0.00235743544464,29
HumanEval/96,1,0,12
HumanEval/97,1,0,12
HumanEval/98,1,0,12
HumanEval/99,0.964164976335,0.0332121377613,29
HumanEval/101,1,0,12
HumanEval/102,0.966823956443,0.0148587731924,29
HumanEval/103,0.91945553539,0.036178020494,29
HumanEval/104,0.975822532403,0.00643004933355,12
HumanEval/105,0.855018278498,0.105284422295,12
HumanEval/106,0.758012820513,0.175678521532,12
HumanEval/107,0.953488372093,0.00432666306111,12
