sample id,average perf,perf variance,n average
HumanEval/0,1,0,31
HumanEval/1,1,0,40
HumanEval/2,0.985831622177,0.00105865437726,25
HumanEval/3,1,0,25
HumanEval/4,0.92,0.0736,25
HumanEval/5,1,0,25
HumanEval/6,1,0,17
HumanEval/7,1,0,17
HumanEval/8,1,0,52
HumanEval/9,1,0,16
HumanEval/10,0.876581632653,0.0882857767597,25
HumanEval/11,1,0,16
HumanEval/12,1,0,16
HumanEval/13,1,0,16
HumanEval/16,1,0,16
HumanEval/17,1,0,16
HumanEval/18,1,0,16
HumanEval/19,1,0,25
HumanEval/20,1,0,16
HumanEval/21,0.397689243028,0.01375275948,25
HumanEval/22,0.902761506276,0.00742918366275,25
HumanEval/23,1,0,16
HumanEval/24,1,0,17
HumanEval/25,0.970588235294,0.0285467128028,34
HumanEval/26,1,0,16
HumanEval/27,0.9375,0.05859375,16
HumanEval/28,0.882352941176,0.103806228374,17
HumanEval/29,0.754749498998,0.125486827764,25
HumanEval/30,0.999769691386,1.32605143679e-06,26
HumanEval/31,1,0,16
HumanEval/33,1,0,16
HumanEval/34,0.999930862832,7.16992202796e-08,16
HumanEval/35,1,0,16
HumanEval/36,1,0,16
HumanEval/37,1,0,16
HumanEval/38,0.854439865118,0.122892784943,34
HumanEval/39,0.8125,0.15234375,16
HumanEval/40,0.96,0.0384,25
HumanEval/41,0.9375,0.05859375,16
HumanEval/42,1,0,16
HumanEval/43,0.99987283825,1.13190774189e-07,16
HumanEval/44,1,0,16
HumanEval/45,1,0,16
HumanEval/46,0.971074380165,0.0267741274503,33
HumanEval/47,0.88,0.1056,25
HumanEval/48,0.597105527638,0.237745860559,25
HumanEval/49,0.93731041456,0.0585702075715,16
HumanEval/50,0.863920454545,0.0407388139205,16
HumanEval/51,1,0,25
HumanEval/52,0.8125,0.15234375,16
HumanEval/53,0.882352941176,0.103806228374,17
HumanEval/54,0.904452075426,0.00245791697048,33
HumanEval/55,0.959595959596,0.000163248648097,33
HumanEval/56,1,0,16
HumanEval/57,1,0,16
HumanEval/58,1,0,17
HumanEval/59,1,0,16
HumanEval/60,1,0,26
HumanEval/61,1,0,25
HumanEval/62,0.99983856647,3.12729414308e-07,26
HumanEval/63,1,0,16
HumanEval/64,0.865665665666,0.107091115139,25
HumanEval/65,0.943161094225,0.0271843899775,40
HumanEval/66,1,0,25
HumanEval/67,1,0,25
HumanEval/68,0.999751737835,1.84902307482e-07,16
HumanEval/69,1,0,25
HumanEval/70,0.9375,0.05859375,16
HumanEval/71,1,0,16
HumanEval/72,1,0,25
HumanEval/73,0.961538461538,0.0369822485207,26
HumanEval/74,0.927284263959,0.0588822019377,16
HumanEval/75,1,0,16
HumanEval/76,0.754324215607,0.182111517984,33
HumanEval/77,0.856326219512,0.0770001522066,16
HumanEval/78,0.99950347567,7.39609229929e-07,16
HumanEval/79,0.974358974359,0.0249835634451,39
HumanEval/80,1,0,16
HumanEval/81,0.65648111332,0.177541869657,50
HumanEval/82,1,0,16
HumanEval/84,1,0,16
HumanEval/85,1,0,16
HumanEval/86,0.932654075547,0.0583402542004,16
HumanEval/87,1,0,16
HumanEval/88,1,0,16
HumanEval/89,1,0,33
HumanEval/90,0.995937122128,0.000271710075169,25
HumanEval/91,0.995109343936,0.000364407590244,25
HumanEval/92,1,0,16
HumanEval/93,0.695460199005,0.204151935441,16
HumanEval/94,1,0,25
HumanEval/95,0.872093023256,0.0782074743943,43
HumanEval/96,1,0,16
HumanEval/97,1,0,16
HumanEval/98,1,0,16
HumanEval/99,0.993027645841,0.00203683256171,46
HumanEval/101,1,0,16
HumanEval/102,0.936703601108,0.0264424651438,38
HumanEval/103,0.966736842105,0.00908622714681,25
HumanEval/104,1,0,16
HumanEval/105,1,0,16
HumanEval/106,0.879807692308,0.101123335799,16
HumanEval/107,0.947674418605,0.00456327744727,16
HumanEval/108,0.952621452621,0.0351111281885,33
HumanEval/109,0.953939393939,0.0387966942149,25
HumanEval/110,0.939110437464,0.0349493702585,38
HumanEval/111,0.999715909091,3.49733126722e-07,16
HumanEval/112,0.96,0.0384,25
HumanEval/113,1,0,26
HumanEval/114,1,0,16
HumanEval/115,0.65017369727,0.0909548707276,25
HumanEval/116,0.9375,0.05859375,16
HumanEval/117,1,0,16
HumanEval/118,0.899308983218,0.0506934043028,36
HumanEval/119,1,0,16
HumanEval/120,1,0,16
HumanEval/121,1,0,16
HumanEval/122,1,0,25
HumanEval/123,1,0,16
HumanEval/124,0.95696,0.0381663584,25
HumanEval/125,0.943819358816,0.0134023333507,16
HumanEval/126,0.996501893802,2.95940123635e-05,41
HumanEval/127,0.763615714212,0.0505678776926,33
HumanEval/128,0.9375,0.05859375,16
HumanEval/129,0.532385786802,0.215787719343,25
HumanEval/131,1,0,37
HumanEval/132,0.916716555376,0.0410738212762,43
HumanEval/133,1,0,16
HumanEval/134,0.99007007007,0.000101155810465,25
HumanEval/135,1,0,17
HumanEval/136,1,0,16
HumanEval/137,0.985897117296,0.0021533595087,16
HumanEval/138,1,0,16
HumanEval/140,0.953125,0.0147975663023,16
HumanEval/141,0.971060128955,0.0248163705006,39
HumanEval/142,1,0,16
HumanEval/143,1,0,16
HumanEval/144,0.999443069307,4.65257695324e-06,16
HumanEval/145,0.0388688278492,2.69509206763e-05,49
HumanEval/146,1,0,26
HumanEval/147,0.9375,0.05859375,16
HumanEval/148,0.96,0.0384,25
HumanEval/149,1,0,25
HumanEval/150,1,0,17
HumanEval/151,0.999378109453,8.50845276107e-07,16
HumanEval/152,1,0,16
HumanEval/153,1,0,35
HumanEval/154,1,0,16
HumanEval/155,1,0,25
HumanEval/156,1,0,16
HumanEval/157,1,0,16
HumanEval/158,1,0,26
HumanEval/159,0.593439486515,0.155568424589,33
HumanEval/160,0.398431214803,0.138904817905,33
HumanEval/161,0.941176470588,0.0553633217993,17
HumanEval/162,1,0,16
HumanEval/163,0,0,40
