sample id,average perf,perf variance,n average
HumanEval/0,1,0,49
HumanEval/1,0.444444444444,0.230523627075,108
HumanEval/2,0.999885922884,5.72597890685e-07,45
HumanEval/3,1,0,45
HumanEval/4,1,0,45
HumanEval/5,0.977777777778,0.0217283950617,45
HumanEval/6,1,0,27
HumanEval/7,1,0,27
HumanEval/8,1,0,81
HumanEval/9,0.963777386854,0.0328019425776,26
HumanEval/10,0.958503401361,0.0370223055208,45
HumanEval/11,1,0,26
HumanEval/12,1,0,26
HumanEval/13,1,0,26
HumanEval/16,0.961538461538,0.0369822485207,26
HumanEval/17,1,0,26
HumanEval/18,1,0,26
HumanEval/19,1,0,45
HumanEval/20,1,0,26
HumanEval/21,0.823351040283,0.0690713531688,45
HumanEval/22,0.984565318457,0.00244185129207,45
HumanEval/23,1,0,26
HumanEval/24,1,0,27
HumanEval/25,0.982331691297,0.0127267301372,105
HumanEval/26,1,0,26
HumanEval/27,1,0,26
HumanEval/28,1,0,27
HumanEval/29,1,0,45
HumanEval/30,1,0,46
HumanEval/31,0.996371552975,2.18256852153e-05,26
HumanEval/33,1,0,26
HumanEval/34,1,0,26
HumanEval/35,1,0,26
HumanEval/36,1,0,26
HumanEval/37,1,0,26
HumanEval/38,0.981195025781,0.0182117933519,105
HumanEval/39,0.807692307692,0.155325443787,26
HumanEval/40,0.996041385515,0.000160623943563,45
HumanEval/41,1,0,26
HumanEval/42,1,0,26
HumanEval/43,0.997143751467,0.000203953892021,26
HumanEval/44,1,0,26
HumanEval/45,1,0,26
HumanEval/46,0.794507575758,0.157130403135,104
HumanEval/47,0.973177777778,0.0224549906173,45
HumanEval/48,0.511111111111,0.24987654321,45
HumanEval/49,0.999922221358,7.25942057882e-08,26
HumanEval/50,0.923076923077,0.0710059171598,26
HumanEval/51,1,0,45
HumanEval/52,1,0,26
HumanEval/53,0.962962962963,0.0356652949246,27
HumanEval/54,1,0,104
HumanEval/55,0.91452991453,0.0686682737965,104
HumanEval/56,1,0,26
