sample id,average perf,perf variance,n average
HumanEval/0,1,0,46
HumanEval/1,0.569066344021,0.230798862428,114
HumanEval/2,0.994566033956,0.000674071350297,41
HumanEval/3,1,0,41
HumanEval/4,0.951219512195,0.0464009518144,41
HumanEval/5,1,0,41
HumanEval/6,1,0,30
HumanEval/7,1,0,30
HumanEval/8,1,0,97
HumanEval/9,0.968607068607,0.0285799681018,30
HumanEval/10,0.952837232454,0.0434280184169,41
HumanEval/11,1,0,30
HumanEval/12,1,0,30
HumanEval/13,1,0,30
HumanEval/16,1,0,30
HumanEval/17,1,0,30
HumanEval/18,1,0,30
HumanEval/19,1,0,41
HumanEval/20,1,0,30
HumanEval/21,0.715795355165,0.101651580915,41
HumanEval/22,0.983059495867,0.00265457129262,41
HumanEval/23,1,0,30
HumanEval/24,1,0,30
HumanEval/25,0.973563218391,0.0212370634606,108
HumanEval/26,1,0,30
HumanEval/27,1,0,30
HumanEval/28,0.933333333333,0.0622222222222,30
HumanEval/29,0.850457011584,0.0908287458385,41
HumanEval/30,0.999853950635,8.53216676999e-07,41
HumanEval/31,0.997693920335,1.70967217366e-05,30
HumanEval/33,1,0,30
HumanEval/34,0.999963126844,3.94292601004e-08,30
HumanEval/35,1,0,30
HumanEval/36,1,0,30
HumanEval/37,1,0,30
HumanEval/38,0.95429346544,0.0430351984107,108
HumanEval/39,0.833333333333,0.138888888889,30
HumanEval/40,0.972351140515,0.0237709050036,41
HumanEval/41,0.966666666667,0.0322222222222,30
HumanEval/42,1,0,30
HumanEval/43,0.997456765005,0.000177431389574,30
HumanEval/44,1,0,30
HumanEval/45,1,0,30
HumanEval/46,0.829545454545,0.135838073496,108
HumanEval/47,0.926829268293,0.0678167757287,41
HumanEval/48,0.633558034073,0.231588134473,41
HumanEval/49,0.999865183687,1.18140348235e-07,30
HumanEval/50,0.894090909091,0.0537200413223,30
HumanEval/51,1,0,41
HumanEval/52,0.9,0.09,30
HumanEval/53,0.933333333333,0.0622222222222,30
HumanEval/54,0.984279508136,0.00165932737549,108
HumanEval/55,0.935390946502,0.047348303951,108
HumanEval/56,1,0,30
HumanEval/57,1,0,30
HumanEval/58,1,0,30
HumanEval/59,1,0,30
HumanEval/60,1,0,41
HumanEval/61,1,0,41
HumanEval/62,0.975788907942,0.0232444826076,41
HumanEval/63,0.849743589744,0.112910190664,30
HumanEval/64,0.94247906443,0.0486040422884,41
HumanEval/65,0.893487680269,0.0271091115027,94
HumanEval/66,1,0,41
HumanEval/67,0.951289801082,0.0462674291133,41
HumanEval/68,0.99983449189,1.36964672209e-07,30
HumanEval/69,0.93246876859,0.057765918066,41
HumanEval/70,0.966666666667,0.0322222222222,30
HumanEval/71,1,0,30
HumanEval/72,1,0,41
HumanEval/73,0.975609756098,0.0237953599048,41
HumanEval/74,0.961218274112,0.0327198605135,30
HumanEval/75,1,0,30
HumanEval/76,0.961754342838,0.0355934322025,108
HumanEval/77,0.97093495935,0.011651505387,30
HumanEval/78,0.999735187024,4.55818429112e-07,30
HumanEval/79,0.988636363636,0.0112345041322,88
HumanEval/80,1,0,30
HumanEval/81,0.694073184654,0.181142523997,101
HumanEval/82,1,0,30
HumanEval/84,1,0,30
HumanEval/85,1,0,30
HumanEval/86,0.897415506958,0.0896768099159,30
HumanEval/87,0.992452830189,0.00165183339267,30
HumanEval/88,1,0,30
HumanEval/89,1,0,108
HumanEval/90,0.997463650574,0.000169451684137,41
HumanEval/91,0.997333074722,0.00022935841887,41
HumanEval/92,1,0,30
HumanEval/93,0.870381426202,0.109263363668,30
HumanEval/94,0.928521356571,0.0647360535198,41
HumanEval/95,0.91380182002,0.048322281389,92
HumanEval/96,1,0,30
HumanEval/97,1,0,30
HumanEval/98,1,0,30
HumanEval/99,0.959689622976,0.0340621903613,87
HumanEval/101,1,0,30
HumanEval/102,0.980497866287,0.00900121952453,74
HumanEval/103,0.874942233633,0.0497834589291,41
HumanEval/104,0.973346626786,0.0206016668064,30
HumanEval/105,0.93655699568,0.0565060871446,30
HumanEval/106,0.773717948718,0.168242932281,30
HumanEval/107,0.990697674419,0.00121146565711,30
HumanEval/108,0.6399085097,0.133281930519,108
HumanEval/109,0.971914264597,0.0241613583239,41
HumanEval/110,0.980440712481,0.0144728070884,79
HumanEval/111,0.999848484848,2.06611570248e-07,30
HumanEval/112,0.990510860332,0.00360175086519,41
HumanEval/113,0.368426260328,0.230272949296,41
HumanEval/114,1,0,30
HumanEval/115,0.933214307329,0.0324768664027,41
HumanEval/116,0.933241758242,0.062210129614,30
HumanEval/117,1,0,30
HumanEval/118,0.896811332199,0.0491412594266,83
HumanEval/119,1,0,30
HumanEval/120,0.680283547643,0.102355245177,30
HumanEval/121,1,0,30
HumanEval/122,0.956170367674,0.00868869829807,41
HumanEval/123,0.935011990408,0.0591704478144,30
HumanEval/124,0.973975609756,0.0237224628198,41
HumanEval/125,0.980106863954,0.0054915618561,30
HumanEval/126,0.998893747722,1.20741473976e-05,76
HumanEval/127,0.95474477885,0.0202138878784,108
HumanEval/128,0.966666666667,0.0322222222222,30
HumanEval/129,0.870248854773,0.101208669576,41
HumanEval/131,1,0,75
HumanEval/132,0.912337301146,0.037169633208,89
HumanEval/133,1,0,30
HumanEval/134,0.996362215874,5.1603452744e-05,41
HumanEval/135,0.946132785763,0.041489313059,30
HumanEval/136,1,0,30
HumanEval/137,0.992478462558,0.00119796023945,30
HumanEval/138,1,0,30
HumanEval/140,0.905610889774,0.0291825846239,30
HumanEval/141,0.974373603385,0.023739463156,82
HumanEval/142,1,0,30
HumanEval/143,1,0,30
HumanEval/144,0.960429042904,0.0328288392206,30
HumanEval/145,0.32472166998,0.186420266769,100
HumanEval/146,1,0,41
HumanEval/147,0.773043478261,0.154769250158,30
HumanEval/148,0.974934333959,0.0237667028447,41
HumanEval/149,0.906495819522,0.0424661542961,41
HumanEval/150,0.994543650794,0.000863380653187,30
HumanEval/151,0.966202321725,0.0321919743461,30
HumanEval/152,1,0,30
HumanEval/153,1,0,70
HumanEval/154,0.997084161696,0.000122257398836,30
HumanEval/155,0.974653275945,0.012843163557,41
HumanEval/156,0.535220125786,0.224729638859,30
HumanEval/157,1,0,30
HumanEval/158,1,0,41
HumanEval/159,0.934232858113,0.0475784864723,108
HumanEval/160,0.590810390036,0.221209604882,108
HumanEval/161,0.933333333333,0.0622222222222,30
HumanEval/162,1,0,30
HumanEval/163,0.640869610444,0.22882933466,78
