direct or enc-dec,sample id,model name,baseline perf,baseline variance,n baseline,non-baseline perf,non-baseline variance,n non-baseline,all perf,all variance,n all
direct,HumanEval/0,openrouter/openai/gpt-5-nano,1,0,16,1,0,15,1,0,31
direct,HumanEval/0,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/1,openrouter/openai/gpt-5-nano,1,0,16,1,0,24,1,0,40
direct,HumanEval/1,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.964285714286,0.0344387755102,28,0.966666666667,0.0322222222222,30
direct,HumanEval/2,openrouter/openai/gpt-5-nano,0.989496130153,9.45696700785e-05,13,0.981861738535,0.00207277183031,12,0.985831622177,0.00105865437726,25
direct,HumanEval/2,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/3,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/3,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/4,openrouter/openai/gpt-5-nano,1,0,13,0.833333333333,0.138888888889,12,0.92,0.0736,25
direct,HumanEval/4,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/5,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/5,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/6,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/7,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/8,openrouter/openai/gpt-5-nano,1,0,17,1,0,35,1,0,52
direct,HumanEval/8,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,13,1,0,15
direct,HumanEval/9,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/10,openrouter/openai/gpt-5-nano,0.839580062794,0.0964151940513,13,0.916666666667,0.0763888888889,12,0.876581632653,0.0882857767597,25
direct,HumanEval/10,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/11,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/12,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/13,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/16,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/17,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/18,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/19,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/19,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/20,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/21,openrouter/openai/gpt-5-nano,0.432270916335,0,13,0.360225763612,0.025952520154,12,0.397689243028,0.01375275948,25
direct,HumanEval/21,openrouter/xiaomi/mimo-v2-flash,0.432270916335,0,2,0.432270916335,0,2,0.432270916335,0,4
direct,HumanEval/22,openrouter/openai/gpt-5-nano,0.839716768587,0.00214089285601,13,0.971059972106,0.00418762607253,12,0.902761506276,0.00742918366275,25
direct,HumanEval/22,openrouter/xiaomi/mimo-v2-flash,0.826359832636,0,2,0.826359832636,0,2,0.826359832636,0,4
direct,HumanEval/23,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/24,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/25,openrouter/openai/gpt-5-nano,1,0,14,0.95,0.0475,20,0.970588235294,0.0285467128028,34
direct,HumanEval/25,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,28,1,0,30
direct,HumanEval/26,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/27,openrouter/openai/gpt-5-nano,0.833333333333,0.138888888889,6,1,0,10,0.9375,0.05859375,16
direct,HumanEval/28,openrouter/openai/gpt-5-nano,1,0,7,0.8,0.16,10,0.882352941176,0.103806228374,17
direct,HumanEval/29,openrouter/openai/gpt-5-nano,1,0,13,0.489061456246,0.125680629518,12,0.754749498998,0.125486827764,25
direct,HumanEval/29,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/30,openrouter/openai/gpt-5-nano,1,0,14,0.999500998004,2.73903291222e-06,12,0.999769691386,1.32605143679e-06,26
direct,HumanEval/30,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/31,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/33,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/34,openrouter/openai/gpt-5-nano,1,0,6,0.999889380531,1.10130002349e-07,10,0.999930862832,7.16992202796e-08,16
direct,HumanEval/35,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/36,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/37,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/38,openrouter/openai/gpt-5-nano,0.928571428571,0.0663265306122,14,0.802547770701,0.155949531421,20,0.854439865118,0.122892784943,34
direct,HumanEval/38,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,28,1,0,30
direct,HumanEval/39,openrouter/openai/gpt-5-nano,0.666666666667,0.222222222222,6,0.9,0.09,10,0.8125,0.15234375,16
direct,HumanEval/40,openrouter/openai/gpt-5-nano,1,0,13,0.916666666667,0.0763888888889,12,0.96,0.0384,25
direct,HumanEval/40,openrouter/xiaomi/mimo-v2-flash,0.950910931174,7.40157189923e-05,2,1,0,2,0.975455465587,0.000639442029045,4
direct,HumanEval/41,openrouter/openai/gpt-5-nano,1,0,6,0.9,0.09,10,0.9375,0.05859375,16
direct,HumanEval/42,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/43,openrouter/openai/gpt-5-nano,1,0,6,0.9997965412,1.65581932527e-07,10,0.99987283825,1.13190774189e-07,16
direct,HumanEval/44,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/45,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/46,openrouter/openai/gpt-5-nano,1,0,13,0.952272727273,0.0432799586777,20,0.971074380165,0.0267741274503,33
direct,HumanEval/46,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,28,1,0,30
direct,HumanEval/47,openrouter/openai/gpt-5-nano,0.923076923077,0.0710059171598,13,0.833333333333,0.138888888889,12,0.88,0.1056,25
direct,HumanEval/47,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/48,openrouter/openai/gpt-5-nano,0.380904522613,0.232194913493,13,0.831323283082,0.138263315461,12,0.597105527638,0.237745860559,25
direct,HumanEval/48,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/49,openrouter/openai/gpt-5-nano,0.833333333333,0.138888888889,6,0.999696663296,2.14697363619e-07,10,0.93731041456,0.0585702075715,16
direct,HumanEval/50,openrouter/openai/gpt-5-nano,1,0,6,0.782272727273,0.0474051652893,10,0.863920454545,0.0407388139205,16
direct,HumanEval/51,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/51,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/52,openrouter/openai/gpt-5-nano,1,0,6,0.7,0.21,10,0.8125,0.15234375,16
direct,HumanEval/53,openrouter/openai/gpt-5-nano,1,0,7,0.8,0.16,10,0.882352941176,0.103806228374,17
direct,HumanEval/54,openrouter/openai/gpt-5-nano,0.888056277718,0.00104428307986,13,0.915109343936,0.00308846720868,20,0.904452075426,0.00245791697048,33
direct,HumanEval/54,openrouter/xiaomi/mimo-v2-flash,0.939363817097,0.003676746677,2,0.943694973019,0.00365798776538,28,0.943406229291,0.00366040558065,30
direct,HumanEval/55,openrouter/openai/gpt-5-nano,0.955555555556,0,13,0.962222222222,0.000251851851852,20,0.959595959596,0.000163248648097,33
direct,HumanEval/55,openrouter/xiaomi/mimo-v2-flash,0.977777777778,0.000493827160494,2,0.980952380952,0.000483749055178,28,0.980740740741,0.000485048010974,30
direct,HumanEval/56,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/57,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/58,openrouter/openai/gpt-5-nano,1,0,7,1,0,10,1,0,17
direct,HumanEval/59,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/60,openrouter/openai/gpt-5-nano,1,0,14,1,0,12,1,0,26
direct,HumanEval/60,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/61,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/61,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/62,openrouter/openai/gpt-5-nano,1,0,14,0.999650227352,6.11704525671e-07,12,0.99983856647,3.12729414308e-07,26
direct,HumanEval/62,openrouter/xiaomi/mimo-v2-flash,0.998950682057,1.10106814621e-06,2,1,0,2,0.999475341028,8.25801109657e-07,4
direct,HumanEval/63,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/64,openrouter/openai/gpt-5-nano,0.923076923077,0.0710059171598,13,0.803470136803,0.138744405622,12,0.865665665666,0.107091115139,25
direct,HumanEval/64,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/65,openrouter/openai/gpt-5-nano,0.991315675206,1.25695828539e-05,14,0.917231704466,0.0398944180378,26,0.943161094225,0.0271843899775,40
direct,HumanEval/65,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.964432357489,0.0193294997541,19,0.967819752014,0.0175976022115,21
direct,HumanEval/66,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/66,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/67,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/67,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.554755043228,0.198243071531,2,0.777377521614,0.148682303648,4
direct,HumanEval/68,openrouter/openai/gpt-5-nano,1,0,6,0.999602780536,2.36674953577e-07,10,0.999751737835,1.84902307482e-07,16
direct,HumanEval/69,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/69,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/70,openrouter/openai/gpt-5-nano,1,0,6,0.9,0.09,10,0.9375,0.05859375,16
direct,HumanEval/71,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/72,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/72,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/73,openrouter/openai/gpt-5-nano,1,0,14,0.916666666667,0.0763888888889,12,0.961538461538,0.0369822485207,26
direct,HumanEval/73,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/74,openrouter/openai/gpt-5-nano,1,0,6,0.883654822335,0.0891354479631,10,0.927284263959,0.0588822019377,16
direct,HumanEval/75,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/76,openrouter/openai/gpt-5-nano,0.690010211028,0.211607392349,13,0.796128318584,0.158503027351,20,0.754324215607,0.182111517984,33
direct,HumanEval/76,openrouter/xiaomi/mimo-v2-flash,0.497787610619,0.247792505286,2,0.959979456384,0.0341332256249,28,0.929166666667,0.0616691697449,30
direct,HumanEval/77,openrouter/openai/gpt-5-nano,0.761178861789,0.140868737193,6,0.913414634146,0.02998810232,10,0.856326219512,0.0770001522066,16
direct,HumanEval/78,openrouter/openai/gpt-5-nano,1,0,6,0.999205561072,9.46699814309e-07,10,0.99950347567,7.39609229929e-07,16
direct,HumanEval/79,openrouter/openai/gpt-5-nano,1,0,13,0.961538461538,0.0369822485207,26,0.974358974359,0.0249835634451,39
direct,HumanEval/79,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,17,1,0,19
direct,HumanEval/80,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/81,openrouter/openai/gpt-5-nano,0.570347147882,0.193778931222,13,0.686744398474,0.168314392948,37,0.65648111332,0.177541869657,50
direct,HumanEval/81,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,23,1,0,25
direct,HumanEval/82,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/84,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/85,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/86,openrouter/openai/gpt-5-nano,0.987077534791,0.000834950535356,6,0.9,0.09,10,0.932654075547,0.0583402542004,16
direct,HumanEval/87,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/88,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/89,openrouter/openai/gpt-5-nano,1,0,13,1,0,20,1,0,33
direct,HumanEval/89,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.928642643498,0.0661943402503,28,0.933399800598,0.062098211845,30
direct,HumanEval/90,openrouter/openai/gpt-5-nano,1,0,13,0.9915356711,0.000528807327466,12,0.995937122128,0.000271710075169,25
direct,HumanEval/90,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/91,openrouter/openai/gpt-5-nano,0.999005964215,0,13,0.990888005302,0.000724913826078,12,0.995109343936,0.000364407590244,25
direct,HumanEval/91,openrouter/xiaomi/mimo-v2-flash,0.999502982107,2.47026785608e-07,2,0.5,0.25,2,0.749751491054,0.187375930797,4
direct,HumanEval/92,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/93,openrouter/openai/gpt-5-nano,0.835986733002,0.134501758757,6,0.611144278607,0.226984242964,10,0.695460199005,0.204151935441,16
direct,HumanEval/94,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/94,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/95,openrouter/openai/gpt-5-nano,0.962283840191,0.000258637947409,13,0.833010335917,0.106932947573,30,0.872093023256,0.0782074743943,43
direct,HumanEval/95,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.973145071982,0.00937543306488,14,0.976501937984,0.00828238377727,16
direct,HumanEval/96,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/97,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/98,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/99,openrouter/openai/gpt-5-nano,0.999138116785,8.91411211195e-06,13,0.99062049062,0.00281520627841,33,0.993027645841,0.00203683256171,46
direct,HumanEval/99,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.929807217004,0.0267347728833,17,0.937195931004,0.0243846275678,19
direct,HumanEval/101,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/102,openrouter/openai/gpt-5-nano,0.925991902834,0.0301245914537,13,0.942273684211,0.0244370685873,25,0.936703601108,0.0264424651438,38
direct,HumanEval/102,openrouter/xiaomi/mimo-v2-flash,0.518947368421,0,2,0.946549707602,0.0228554700592,18,0.903789473684,0.0370258614958,20
direct,HumanEval/103,openrouter/openai/gpt-5-nano,0.99036437247,0.00111414381485,13,0.941140350877,0.0164626885195,12,0.966736842105,0.00908622714681,25
direct,HumanEval/103,openrouter/xiaomi/mimo-v2-flash,0.749473684211,0.062763434903,2,0.937368421053,0.00392271468144,2,0.843421052632,0.0421691828255,4
direct,HumanEval/104,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/105,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/106,openrouter/openai/gpt-5-nano,0.839743589744,0.128410585141,6,0.903846153846,0.0832100591716,10,0.879807692308,0.101123335799,16
direct,HumanEval/107,openrouter/openai/gpt-5-nano,0.906976744186,0.00432666306111,6,0.972093023256,0.003115197404,10,0.947674418605,0.00456327744727,16
direct,HumanEval/108,openrouter/openai/gpt-5-nano,1,0,13,0.921825396825,0.0555258920698,20,0.952621452621,0.0351111281885,33
direct,HumanEval/108,openrouter/xiaomi/mimo-v2-flash,0.290674603175,0,2,0.846053004535,0.0810782063764,28,0.809027777778,0.0948651364481,30
direct,HumanEval/109,openrouter/openai/gpt-5-nano,1,0,13,0.90404040404,0.0760381593715,12,0.953939393939,0.0387966942149,25
direct,HumanEval/109,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/110,openrouter/openai/gpt-5-nano,0.940875410587,0.0192264439026,13,0.93819265144,0.0431228297646,25,0.939110437464,0.0349493702585,38
direct,HumanEval/110,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.857142857143,0.122448979592,21,0.869565217391,0.113421550095,23
direct,HumanEval/111,openrouter/openai/gpt-5-nano,1,0,6,0.999545454545,4.82093663912e-07,10,0.999715909091,3.49733126722e-07,16
direct,HumanEval/112,openrouter/openai/gpt-5-nano,0.923076923077,0.0710059171598,13,1,0,12,0.96,0.0384,25
direct,HumanEval/112,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/113,openrouter/openai/gpt-5-nano,1,0,14,1,0,12,1,0,26
direct,HumanEval/113,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/114,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/115,openrouter/openai/gpt-5-nano,0.537888910097,0.0802154805234,13,0.771815550041,0.0741339402202,12,0.65017369727,0.0909548707276,25
direct,HumanEval/115,openrouter/xiaomi/mimo-v2-flash,1,0,2,0.755583126551,0.0597396080266,2,0.877791563275,0.04480470602,4
direct,HumanEval/116,openrouter/openai/gpt-5-nano,1,0,6,0.9,0.09,10,0.9375,0.05859375,16
direct,HumanEval/117,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/118,openrouter/openai/gpt-5-nano,0.953527223024,0.0259166279986,13,0.868663891154,0.0620970245524,23,0.899308983218,0.0506934043028,36
direct,HumanEval/118,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,22,1,0,24
direct,HumanEval/119,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/120,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/121,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/122,openrouter/openai/gpt-5-nano,1,0,13,1,0,12,1,0,25
direct,HumanEval/122,openrouter/xiaomi/mimo-v2-flash,1,0,2,1,0,2,1,0,4
direct,HumanEval/123,openrouter/openai/gpt-5-nano,1,0,6,1,0,10,1,0,16
direct,HumanEval/124,openrouter/openai/gpt-5-nano,0.997769230769,4.33136094675e-06,13,0.91275,0.0757498541667,12,0.95696,0.0381663584,25
direct,HumanEval/124,openrouter/xiaomi/mimo-v2-flash,0.988,0,2,1,0,2,0.994,3.6e-05,4
direct,HumanEval/125,openrouter/openai/gpt-5-nano,0.949650637074,0.012184708849,6,0.940320591862,0.0141002643978,10,0.943819358816,0.0134023333507,16
