direct or enc-dec,sample id,model name,bucket,pass rate,source kind,session id,run id,source record id,source relative path,phase,split,generation type,optimization target
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000003,human_eval_dspy_direct_eval_20260515T051718Z,human_eval_dspy_direct_eval_20260515T051718Z:attempt:000140,raw/logs/human_eval_dspy_direct_eval_20260515T051718Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000000,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000001,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000002,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000003,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000005,human_eval_dspy_run_20260515T061814Z,human_eval_dspy_run_20260515T061814Z:attempt:000004,raw/logs/human_eval_dspy_run_20260515T061814Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000000,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000001,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000002,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
direct,HumanEval/0,openrouter/openai/gpt-5-nano,baseline,1.0,eval_attempt,session_000025,human_eval_dspy_run_20260515T084128Z,human_eval_dspy_run_20260515T084128Z:attempt:000003,raw/logs/eval_full_5x/baseline_direct/human_eval_dspy_run_20260515T084128Z.json,,,direct,
